X,Y,OBJECTID_1,OBJECTID,StaType,StnType,ZipCode,State,City,Address2,Address1,Name,Code,StationNam
-8626920.4957,4525559.5987,811,819,Station Building (with waiting room),TRAIN,23228,VA,Richmond, ,7519 Staples Mill Road,Staples Mill Road Station,RVR,"Richmond, VA"
-11936173.6099,5127541.4136,812,820,Curbside Bus Stop only (no shelter),BUS,82301,WY,Rawlins, ,1400 South Higley Boulevard, ,RWY,"Rawlins, WY"
-8135917.7244,5592031.042,813,821,Station Building (with waiting room),TRAIN,05478,VT,St Albans, ,40 Federal Street, ,SAB,"St. Albans, VT"
-13525397.9666,4662258.4065,814,822,Station Building (with waiting room),TRAIN,95814,CA,Sacramento, ,401 I Street,Sacramento Valley Station,SAC,"Sacramento, CA"
-11791179.6441,4273101.2977,815,823,Curbside Bus Stop only (no shelter),BUS,87506,NM,Santa Fe, ,198 State Road 592,Four Seasons Area,SAE,"Santa Fe, NM"
-11793922.5559,4257264.0337,816,824,Station Building (with waiting room),BUS,87501,NM,Santa Fe,Santa Fe Station,410 South Guadalupe Street,Central Area,SAF,"Santa Fe, NM"
-8251719.3062,5515765.6493,817,825,Curbside Bus Stop only (no shelter),BUS,12983,NY,Saranac Lake, ,111 River Street, ,SAK,"Saranac Lake, NY"
-8957470.4534,4254966.2193,818,826,Station Building (with waiting room),TRAIN,28144,NC,Salisbury, ,215 Depot Street, ,SAL,"Salisbury, NC"
-13696260.3882,5612254.9681,819,827,Curbside Bus Stop only (no shelter),BUS,97301,OR,Salem, ,555 Court St NE,Transit Mall,SAM,"Salem, OR"
-13043258.8618,3857691.0908,820,828,Station Building (with waiting room),TRAIN,92101,CA,San Diego, ,1050 Kettner Boulevard,Santa Fe Depot,SAN,"San Diego, CA"
-7842362.3311,5387806.1102,821,829,Station Building (with waiting room),TRAIN,04072,ME,Saco, ,138 Main Street, ,SAO,"Saco, ME"
-13254708.503,4075383.7481,822,830,Curbside Bus Stop only (no shelter),BUS,93060,CA,Santa Paula, ,327 South Palm Avenue, ,SAP,"Santa Paula, CA"
-8216494.7923,5324586.2074,823,831,Station Building (with waiting room),TRAIN,12866,NY,Saratoga Springs, ,26 Station Lane, ,SAR,"Saratoga Springs, NY"
-10962537.5979,3429129.5771,824,832,Station Building (with waiting room),TRAIN,78205,TX,San Antonio, ,350 Hoefgen Street, ,SAS,"San Antonio, TX"
-13404699.8584,4157307.4626,825,833,Curbside Bus Stop only (no shelter),BUS,93455,CA,Santa Maria, ,205 South Nicholson Avenue, ,SAT,"Santa Maria, CA"
-9033383.781,3774265.5471,826,834,Station Building (with waiting room),TRAIN,31401,GA,Savannah, ,2611 Seaboard Coastline Drive, ,SAV,"Savannah, GA"
-13611731.4885,5684821.4347,827,835,Curbside Bus Stop only (no shelter),TRAIN,97055,OR,Sandy, ,37601 Highway 26, ,SAY,"Sandy, OR"
-13324141.2644,4084491.1035,828,836,Station Building (with waiting room),TRAIN,93101,CA,Santa Barbara, ,209 State Street,Amtrak Station,SBA,"Santa Barbara, CA"
-9065214.2439,3185658.1958,829,837,Station Building (with waiting room),TRAIN,33870,FL,Sebring, ,601 East Center Avenue, ,SBG,"Sebring, FL"
-7890760.7182,5295476.5758,830,838,Station Building (with waiting room),BUS,03874,NH,Seabrook, ,13 Batchelder Road, ,SBK,"Seabrook, NH"
-13341452.6725,4084656.6703,831,839,Curbside Bus Stop only (no shelter),BUS,93106,CA,Santa Barbara, ,552 University Road,"Univ of California, Snta Barbara",SBU,"Santa Barbara, CA"
-12451826.6695,6191578.6834,832,840,Station Building (with waiting room),TRAIN,59474,MT,Shelby, ,230 West Central Avenue, ,SBY,"Shelby, MT"
-8822739.8221,5334501.3624,833,841,Station Building (with waiting room),TRAIN,L2S 2K3,ON,St. Catharines, ,5 Great Western St., ,SCA,"St. Catharines, ON"
-13573919.007,4488456.6817,834,842,Platform with Shelter,TRAIN,95050,CA,Santa Clara, ,1001 Railroad Avenue,Transit Center,SCC,"Santa Clara, CA"
-10480629.9916,5711350.33,835,843,Station Building (with waiting room),TRAIN,56304,MN,St. Cloud, ,555 East Saint Germain Street, ,SCD,"St. Cloud, MN"
-10109507.5872,3471029.731,836,844,Platform only (no shelter),TRAIN,70395,LA,Schriever, ,145 Burlington Court, ,SCH,"Schriever, LA"
-13524782.481,4661138.1448,837,845,Curbside Bus Stop only (no shelter),BUS,95814,CA,Sacramento, ,1389 10th Street,State Capitol (discharge-only),SCS,"Sacramento, CA"
-13583772.7825,4435068.3837,838,846,Curbside Bus Stop only (no shelter),BUS,95060,CA,Santa Cruz, ,920 Pacific Avenue, ,SCZ,"Santa Cruz, CA"
-12441101.2531,4146298.7227,839,847,Curbside Bus Stop only (no shelter),BUS,86336,AZ,Sedona, ,300 North Highway 89A, ,SDC,"Sedona, AZ"
-9994550.0355,3539383.0975,840,848,Station Building (with waiting room),TRAIN,70458,LA,Slidell, ,1827 Front Street, ,SDL,"Slidell, LA"
-8231222.3637,5283945.1585,841,849,Station Building (with waiting room),TRAIN,12305,NY,Schenectady, ,332 Erie Boulevard, ,SDY,"Schenectady, NY"
-13617732.8889,6040309.4273,842,850,Station Building (with waiting room),TRAIN,98104,WA,Seattle, ,303 South Jackson Street,King Street Station,SEA,"Seattle, WA"
-10378172.8622,4680446.1068,843,851,Station Building (with waiting room),TRAIN,65301,MO,Sedalia, ,Pacific Street and North Osage Avenue, ,SED,"Sedalia, MO"
-13563595.895,4386183.4103,844,852,Curbside Bus Stop only (no shelter),BUS,93955,CA,Sand City, ,949 Playa Avenue, ,SES,"Seaside-Sand City, CA"
-9049303.5718,3351301.1582,845,853,Station Building (with waiting room),TRAIN,32771,FL,Sanford, ,600 South Persimmon Avenue,Auto Train Station,SFA,"Sanford, FL"
